variable,value
M0,-0.07745136580514525
M1,-0.056506864718954504
M2,-0.01775390294269181
M3,0.08254396545009621
M4,0.06915860483140414
S0,-0.11057956630690415
S1,-0.01437452256222202
S2,-0.007613213612851263
S3,0.05492589552604986
S4,0.0779837338018726
